word,arpabet_phoneme_sequence,lang
abashed,AX B EH SH T,en
abate,AX B EY T,en
abated,AX B EY T AX D,en
abatement,AX B EY T M AX N T,en
abatements,AX B EY T M AX N T S,en
abates,AX B EY T S,en
abating,AX B EY T IY NG,en
abatoar,AA B AA T AO AA R,ma
abau,AA B AW,ma
abba,EH B AA,en
abbado,AX B AA D AO W,en
abbas,AX B AA S,en
abbasi,AA B AA S IY,en
abbate,AA B EY T,en
abbatiello,AA B AA T IY EH L AO W,en
abbe,EH B EY,en
abbe,EH B IY,en
abbett,AX B EH T,en
abbeville,EH B V IY L,en
abbey,EH B IY,en
abbey's,EH B IY Z,en
abbie,EH B IY,en
abbitt,EH B IY T,en
abbot,EH B AX T,en
abbott,EH B AX T,en
abboud,AX B UW D,en
abboud,AX B AW D,en
abbreviate,AX B R IY V IY EY T,en
abbreviated,AX B R IY V IY EY T AX D,en
abbreviating,AX B R IY V IY EY T IY NG,en
abbreviation,AX B R IY V IY EY SH AX N,en
abbreviations,AX B R IY V IY EY SH AX N Z,en
abbruzzese,AA B R UW T S EY Z IY,en
abbs,EH B Z,en
abby,EH B IY,en
abco,EH B K AO W,en
abcotek,EH B K AO W T EH Q,en
abdalla,EH B D EH L AA,en
abdallah,EH B D EH L AX,en
abdas,AA B D AA S,ma
abdel,EH B D EH L,en
abdella,EH B D EH L AA,en
abdi,AA B D IY,ma
abdicate,EH B D AX K EY T,en
abdicated,EH B D AX K EY T AX D,en
abdicates,EH B D AX K EY T S,en
abdicating,EH B D AX K EY T IY NG,en
abdication,EH B D AX K EY SH AX N,en
abdikasi,AA B D IY K AA S IY,ma
abdnor,EH B D N AX R,en
abdo,EH B D AO W,en
abdomen,AA B D AO M EH N,ma
abdominal,EH B D AA M AX N AX L,en
abdominal,AX B D AA M AX N AX L,en
abdominal,AA B D AO M IY N AA L,ma
abductees,EH B D AA Q T IY Z,en
abduction,EH B D AA Q SH AX N,en
abduction,AX B D AA Q SH AX N,en
abductions,EH B D AA Q SH AX N Z,en
abductions,AX B D AA Q SH AX N Z,en
abductor,AX B D AA Q T AX R,en
abductor,EH B D AA Q T AX R,en
abductors,EH B D AA Q T AX R Z,en
abductors,AX B D AA Q T AX R Z,en
abducts,EH B D AA Q T S,en
abdul,EH B D UW L,en
abdulaziz,EH B D UW L AX Z IY Z,en
abdulla,AA B D UW L AA,en
abdullah,EH B D AX L AX,en
abe,EY B,en
abed,AX B EH D,en
abedi,AX B EH D IY,en
abel,EY B AX L,en
abela,AA B EH L AA,en
abelard,EH B AX L AX R D,en
abele,AX B EH L,en
abeles,EY B AX L IY Z,en
abeles,AX B EH L Z,en
abell,EY B AX L,en
abelow,EH B AX L AO W,en
abels,EY B AX L Z,en
abelson,EH B AX L S AX N,en
aben,AA B EH N,ma
abend,AX B EH N D,en
abend,EH B EH N D,en
abendroth,EH B AX N D R AO T,en
aber,EY B AX R,en
aberasi,AA B AX R AA S IY,ma
aberdeen,EH B AX R D IY N,en
aberford,EY B AX R F AX R D,en
aberle,EH B AX R L,en
aberle,EH B AX R AX L,en
abermin,EH B AX R M IY N,en
abernathy,EH B AX R N EH T IY,en
abernethy,EH B AX R N EH T IY,en
aberrant,EH B EH R AX N T,en
aberration,EH B AX R EY SH AX N,en
aberrations,EH B AX R EY SH AX N Z,en
abert,EH B AX R T,en
abet,AA B AX T,ma
abetted,AX B EH T AX D,en
abetting,AX B EH T IY NG,en
abex,EY B EH Q S,en
abeyance,AX B EY AX N S,en
abhor,EH B HH AO R,en
abhorred,AX B HH AO R D,en
abhorrence,AX B HH AO R AX N S,en
abhorrent,EH B HH AO R AX N T,en
abhors,AX B HH AO R Z,en
abian,AA B IY AA N,ma
abid,AA B IY D,ma
abide,AX B AY D,en
abided,AX B AY D AX D,en
abidin,AA B IY D IY N,ma
abiding,AX B AY D IY NG,en
abila,AA B IY L AA,en
abilah,AA B IY L AA HH,ma
abilities,AX B IY L AX T IY Z,en
ability,AX B IY L AX T IY,en
abington,EH B IY NG T AX N,en
abio,AA B IY AO W,en
abiola,AA B IY AO W L AA,en
abiola's,AA B IY AO W L AA Z,en
abis,AA B IY S,ma
abitibi,EH B IY T IY B IY,en
abiturien,AA B IY T UW R IY EH N,ma
abjadiah,AA B JH AA D IY AA HH,ma
abject,EH B JH EH Q T,en
abkhazia,EH B K AA Z Y AA,en
abkhazia,EH B K EH Z Y AA,en
abkhazian,EH B K AA Z Y AX N,en
abkhazians,EH B K EH Z IY AX N Z,en
abkhazians,EH B K AA Z IY AX N Z,en
ablasi,AA B L AA S IY,ma
ablaut,AA B L AA UW T,ma
ablaze,AX B L EY Z,en
able,EY B AX L,en
abler,EY B L AX R,en
abler,EY B AX L AX R,en
ables,EY B AX L Z,en
ablest,EY B AX L S T,en
ablest,EY B L AX S T,en
ably,EY B L IY,en
abner,EH B N AX R,en
abnormal,AA B N AO R M AA L,ma
abnormal,EH B N AO R M AX L,en
abnormalitas,AA B N AO R M AA L IY T AA S,ma
abnormalities,EH B N AO R M EH L AX T IY Z,en
abnormality,EH B N AO R M EH L AX T IY,en
abnormally,EH B N AO R M AX L IY,en
abnus,AA B N UW S,ma
abo,AA B AO W,en
abo's,AA B AO W Z,en
aboard,AX B AO R D,en
aboi,AA B OY,ma
abolish,AX B AA L IY SH,en
abolishes,AX B AA L IY SH AX Z,en
abolishing,AX B AA L IY SH IY NG,en
abolisi,AA B AO L IY S IY,ma
abolition,EH B AX L IY SH AX N,en
abolitionism,EH B AX L IY SH AX N IY Z AX M,en
abolitionist,EH B AX L IY SH AX N AX S T,en
abolitionists,EH B AX L IY SH AX N AX S T S,en
abolitionists,EH B AX L IY SH AX N AX S,en
abominable,AX B AA M AX N AX B AX L,en
abomination,AX B AA M AX N EY SH AX N,en
abon,AA B AO N,ma
abonemen,AA B AO N AX M EH N,ma
aboodi,AX B UW D IY,en
aboriginal,EH B AX R IY JH AX N AX L,en
aborigine,EH B AX R IY JH AX N IY,en
aborigines,EH B AX R IY JH AX N IY Z,en
aborn,AX B AO R N,en
aborted,AX B AO R T AX D,en
aborting,AX B AO R T IY NG,en
abortion,AX B AO R SH AX N,en
abortionists,AX B AO R SH AX N IY S T S,en
abortionists,AX B AO R SH AX N AX S,en
abortions,AX B AO R SH AX N Z,en
abortive,AX B AO R T IY V,en
abou,AX B UW,en
abouhalima,AA B UW HH AA L IY M AA,en
abouhalima's,AA B UW HH AA L IY M AA Z,en
abounded,AX B AW N D AX D,en
abounding,AX B AW N D IY NG,en
abounds,AX B AW N D Z,en
about,AX B AW T,en
about's,AX B AW T S,en
above,AX B AX V,en
above's,AX B AX V Z,en
aboveboard,AX B AX V B AO R D,en
abra,AA B R AA,en
abracadabra,EH B R AX K AX D EH B R AA,en
abraham,EY B R AX HH EH M,en
abrahamian,EH B R AX HH EY M IY AX N,en
abrahamson,AX B R EH HH AX M S AX N,en
abrak,AA B R AA Q,ma
abrakadabra,AA B R AA K AA D AA B R AA,ma
abram,AX B R EH M,en
abramczyk,AA B R AX M CH IY Q,en
abramovitz,AX B R AA M AX V IY T S,en
abramowicz,AX B R AA M AX V IY CH,en
abrams,EY B R AX M Z,en
abramson,EY B R AX M S AX N,en
abrar,AA B R AA R,ma
abras,AA B R AA S,ma
abrasion,AX B R EY Z AX N,en
abrasions,AX B R EY Z AX N Z,en
abrasive,AX B R EY S IY V,en
abrasives,AX B R EY S IY V Z,en
abreaksi,AA B R EH AA Q S IY,ma
abreast,AX B R EH S T,en
abrego,AA B R EH G AO W,en
abrek,AA B R AX Q,ma
abreviasi,AA B R EH V IY AA S IY,ma
abridge,AX B R IY JH,en
abridged,AX B R IY JH D,en
abrik,AA B R IY Q,ma
abrikos,AA B R IY K AO S,ma
abril,AX B R IY L,en
abroad,AX B R AO D,en
abrogate,EH B R AX G EY T,en
abrogated,EH B R AX G EY T AX D,en
abrogation,EH B R AX G EY SH AX N,en
abron,AX B R AA N,en
abrupt,AX B R AX P T,en
abruptly,AX B R AX P T L IY,en
abruptness,AX B R AX P T N AX S,en
abrutyn,EY B R UW T IY N,en
abruzzese,AA B R UW T S EY Z IY,en
abruzzo,AA B R UW Z AO W,en
abs,EH B Z,en
absalom,EH B S AX L AX M,en
abscam,EH B S K EH M,en
abscess,EH B S EH S,en
absen,AA B S EH N,ma
absence,EH B S AX N S,en
absences,EH B S AX N S AX Z,en
absensi,AA B S EH N S IY,ma
absentee,EH B S AX N T IY,en
absenteisme,AA B S EH N T EH IY S M AX,ma
absentia,EH B S EH N SH AA,en
abshire,EH B SH AY R,en
absis,AA B S IY S,ma
abso,EH B S AO W,en
absolusi,AA B S AO L UW S IY,ma
absolut,AA B S AO L UW T,ma
absolute,EH B S AX L UW T,en
absolutely,EH B S AX L UW T L IY,en
absolutism,EH B S AX L UW T IY Z AX M,en
absolutisme,AA B S AO L UW T IY S M AX,ma
absolutist,EH B S AX L UW T IY S T,en
absolve,EH B Z AA L V,en
absolve,AX B Z AA L V,en
absolved,AX B Z AA L V D,en
absolved,EH B Z AA L V D,en
absolving,EH B Z AA L V IY NG,en
absolving,AX B Z AA L V IY NG,en
absorb,AX B Z AO R B,en
absorbed,AX B Z AO R B D,en
absorbent,AX B Z AO R B AX N T,en
absorber,AX B Z AO R B AX R,en
absorpsi,AA B S AO R P S IY,ma
abstain,AA B S T AY N,ma
abstain,AX B S T EY N,en
abstain,EH B S T EY N,en
abstained,EH B S T EY N D,en
abstained,AX B S T EY N D,en
abstaining,AX B S T EY N IY NG,en
abstaining,EH B S T EY N IY NG,en
abstentions,AX B S T EH N CH AX N Z,en
abstentions,EH B S T EH N CH AX N Z,en
abstinence,EH B S T AX N AX N S,en
abstinent,EH B S T AX N AX N T,en
abston,EH B S T AX N,en
abstract,EH B S T R EH Q T,en
abstracted,EH B S T R EH Q T AX D,en
abstraction,EH B S T R EH Q SH AX N,en
abstractions,EH B S T R EH Q SH AX N Z,en
abstracts,EH B S T R EH Q T S,en
abstrak,AA B S T R AA Q,ma
abstraksi,AA B S T R AA Q S IY,ma
abstruse,AX B S T R UW S,en
absurd,AA B S UW R D,ma
absurd,AX B S AX R D,en
absurdist,AX B S AX R D IY S T,en
absurdities,AX B S AX R D AX T IY Z,en
abt,EH B T,en
abtar,AA B T AA R,ma
abts,EH B T S,en
abuan,AA B UW AA N,ma
abudrahm,AX B AA D R AX M,en
abuhan,AA B UW HH AA N,ma
abuk,AA B UW Q,ma
abul,AA B UW L,ma
abuladze,EH B Y UW L EH D Z IY,en
abulhayat,AA B UW L HH AA Y AA T,ma
abundance,AX B AX N D AX N S,en
abundant,AX B AX N D AX N T,en
abundantly,AX B AX N D AX N T L IY,en
abur,AA B UW R,ma
aburto,AX B UW R T AO W,en
aburto's,AX B UW R T AO W Z,en
abus,AA B UW S,ma
abuse,AX B Y UW S,en
abuse,AX B Y UW Z,en
abused,AX B Y UW Z D,en
abuser,AX B Y UW Z AX R,en
abusers,AX B Y UW Z AX R Z,en
abuses,AX B Y UW S AX Z,en
abuses,AX B Y UW Z AX Z,en
abusing,AX B Y UW Z IY NG,en
abusive,AX B Y UW S IY V,en
abut,AX B AX T,en
abuts,AX B AX T S,en
abutted,AX B AX T AX D,en
abutting,AX B AX T IY NG,en
abuzz,AX B AA Z,en
abysmally,AX B IY Z M AX L IY,en
abyss,AX B AX S,en
abzug,EH B Z AX Q,en
abzug,EH B Z UW Q,en
aca,EH K AA,en
acacia,AX K EY SH AA,en
academia,EH K AX D IY M IY AA,en
academic,EH K AX D EH M IY Q,en
academically,EH K AX D EH M AX K L IY,en
academician,EH K AX D AX M IY SH AX N,en
academicians,EH K AX D AX M IY SH AX N Z,en
academicians,AX K EH D AX M IY SH AX N Z,en
academies,AX K EH D AX M IY Z,en
academy,AX K EH D AX M IY,en
academy's,AX K EH D AX M IY Z,en
acadia,AX K EY D IY AA,en
acah,AA CH AA HH,ma
acak,AA CH AA Q,ma
acampora,AX K EH M P AX R AA,en
acan,AA CH AA N,ma
acang,AA CH AA NG,ma
acantha,AA K AA N D AA,en
acap,AA CH AA P,ma
acapulco,EH K AX P UW L K AO W,en
acar,AA CH AA R,ma
acara,AA CH AA R AA,ma
acaram,AA CH AA R AA M,ma
acat,AA CH AA T,ma
acatan,AA CH AA T AA N,ma
acau,AA CH AW,ma
accardi,AA K AA R D IY,en
accardo,AA K AA R D AO W,en
accede,EH Q S IY D,en
acceded,EH Q S IY D AX D,en
accedes,EH Q S IY D Z,en
accel,AX Q S EH L,en
accelerant,EH Q S EH L AX R AX N T,en
accelerated,EH Q S EH L AX R EY T AX D,en
accelerates,EH Q S EH L AX R EY T S,en
accelerating,EH Q S EH L AX R EY T IY NG,en
acceleration,EH Q S EH L AX R EY SH AX N,en
accelerator,EH Q S EH L AX R EY T AX R,en
accelerometer,EH Q S EH L AX R AA M AX T AX R,en
accelerometers,EH Q S EH L AX R AA M AX T AX R Z,en
accent,AX Q S EH N T,en
accent,EH Q S EH N T,en
accented,EH Q S EH N T AX D,en
accenting,EH Q S EH N T IY NG,en
accents,EH Q S EH N T S,en
accentuate,EH Q S EH N CH UW EY T,en
accentuated,EH Q S EH N CH UW EY T AX D,en
accentuates,EH Q S EH N CH UW EY T S,en
accentuating,EH Q S EH N CH UW EY T IY NG,en
accept,EH Q S EH P T,en
accept,AX Q S EH P T,en
acceptability,AX Q S EH P T AX B IY L AX T IY,en
acceptable,AX Q S EH P T AX B AX L,en
acceptable,EH Q S EH P T AX B AX L,en
acceptance,EH Q S EH P T AX N S,en
acceptance,AX Q S EH P T AX N S,en
accepted,EH Q S EH P T AX D,en
accepting,EH Q S EH P T IY NG,en
accepts,EH Q S EH P T S,en
access,EH Q S EH S,en
accessed,EH Q S EH S T,en
accessibility,EH Q S EH S AX B IY L IY T IY,en
accessing,EH Q S EH S IY NG,en
accessories,EH Q S EH S AX R IY Z,en
accessorize,EH Q S EH S AX R AY Z,en
accessory,EH Q S EH S AX R IY,en
accetta,AA CH EH T AA,en
accident,EH Q S AX D AX N T,en
accident's,EH Q S AX D AX N T S,en
accidental,EH Q S AX D EH N AX L,en
accidental,EH Q S AX D EH N T AX L,en
accidentally,EH Q S AX D EH N T AX L IY,en
accidentally,EH Q S AX D EH N AX L IY,en
accidently,EH Q S AX D AX N T L IY,en
accidents,EH Q S AX D AX N T S,en
accion,EH CH IY AX N,en
accival,EH S IY V AA L,en
acclaim,AX K L EY M,en
acclaimed,AX K L EY M D,en
acclimate,EH K L AX M EY T,en
acclimated,EH K L AX M EY T AX D,en
acclimation,EH K L AX M EY SH AX N,en
acco,EH K AO W,en
accola,AA K AO W L AA,en
accolade,EH K AX L EY D,en
accolades,EH K AX L EY D Z,en
accommodate,AX K AA M AX D EY T,en
accommodated,AX K AA M AX D EY T AX D,en
accommodating,AX K AA M AX D EY T IY NG,en
accommodation,AX K AA M AX D EY SH AX N,en
accommodations,AX K AA M AX D EY SH AX N Z,en
accompanied,AX K AX M P AX N IY D,en
accompaniment,AX K AX M P N IY M AX N T,en
accompaniments,AX K AX M P N IY M AX N T S,en
accompany,AX K AX M P AX N IY,en
accompanying,AX K AX M P AX N IY Y IY NG,en
accompli,AA K AA M P L IY,en
accompli,AX K AA M P L IY,en
accomplice,AX K AA M P L AX S,en
accomplices,AX K AA M P L AX S AX Z,en
accomplish,AX K AA M P L IY SH,en
accomplished,AX K AA M P L IY SH T,en
accomplishes,AX K AA M P L IY SH AX Z,en
accomplishing,AX K AA M P L IY SH IY NG,en
accomplishment,AX K AA M P L IY SH M AX N T,en
accomplishments,AX K AA M P L IY SH M AX N T S,en
accor,EH K AO R,en
accord,AX K AO R D,en
accordion,AX K AO R D IY AX N,en
accordions,AX K AO R D IY AX N Z,en
accords,AX K AO R D Z,en
accost,AX K AO S T,en
accosted,AX K AA S T AX D,en
accosting,AX K AA S T IY NG,en
account,AX K AW N T,en
account's,AX K AW N T S,en
accountability,AX K AW N T AX B IY L IY T IY,en
accountable,AX K AW N T AX B AX L,en
accountancy,AX K AW N T AX N T S IY,en
accountant,AX K AW N T AX N T,en
accountant's,AX K AW N T AX N T S,en
accountants,AX K AW N T AX N T S,en
accountants',AX K AW N T AX N T S,en
accounted,AX K AW N T AX D,en
accountemp,AX K AW N T EH M P,en
accounting,AX K AW N T IY NG,en
accounting,AX K AW N IY NG,en
accounts,AX K AW N T S,en
accouterment,AX Q UW T AX R M AX N T,en
accreditation,AX K R EH D AX T EY SH AX N,en
accredited,AX K R EH D IY T AX D,en
accrediting,AX K R EH D AX T IY NG,en
accretion,AX K R IY SH AX N,en
accrual,AX K R UW AX L,en
accruals,AX K R UW AX L Z,en
accrue,AX K R UW,en
accrued,AX K R UW D,en
accrues,AX K R UW Z,en
accruing,AX K R UW IY NG,en
accumulate,AX K Y UW M Y AX L EY T,en
accumulated,AX K Y UW M Y AX L EY T AX D,en
accumulating,AX K Y UW M Y AX L EY T IY NG,en
accumulation,AX K Y UW M Y AX L EY SH AX N,en
accumulations,AX K Y UW M Y AX L EY SH AX N Z,en
accumulative,AX K Y UW M Y AX L EY T IY V,en
accumulatively,AX K Y UW M Y AX L EY T IY V L IY,en
accumulatively,AX K Y UW M Y AX L AX T IY V L IY,en
accuracies,EH K Y AX R AX S IY Z,en
accuracy,EH K Y AX R AX S IY,en
accurate,EH K Y AX R AX T,en
accurately,EH K Y AX R AX T L IY,en
accuray,EH K Y AX R EY,en
accuride,EH K Y AX R AY D,en
accurso,AA K UW R S AO W,en
accusations,EH K Y AX Z EY SH AX N Z,en
accusations,EH K Y UW Z EY SH AX N Z,en
accusative,AX K Y UW Z AX T IY V,en
accusatory,AX K Y UW Z AX T AO R IY,en
accused,AX K Y UW Z D,en
accuser,AX K Y UW Z AX R,en
accusers,AX K Y UW Z AX R Z,en
accuses,AX K Y UW Z AX Z,en
accusing,AX K Y UW Z IY NG,en
accusingly,AX K Y UW Z IY NG L IY,en
accustom,AX K AX S T AX M,en
accustomed,AX K AX S T AX M D,en
accutane,EH K Y UW T EY N,en
aced,EY S T,en
acer,EY S AX R,en
acerang,AA CH AX R AA NG,ma
acero,AX S EH R AO W,en
acerra,AX S EH R AA,en
aces,EY S AX Z,en
acetaminophen,AX S IY T AX M IY N AX F AX N,en
acetate,EH S AX T EY T,en
acetic,AX S EH T IY Q,en
acetic,AX S IY T IY Q,en
aceto,AA S EH T AO W,en
acetone,EH S AX T AO W N,en
acetylcholine,AX S IY T AX L K AO W L IY N,en
acetylcholine,AX S EH T AX L K AO W L IY N,en
acetylene,AX S EH T AX L IY N,en
acevedo,EH S AX V EY D AO W,en
aceves,AA S EY V EH S,en
achatz,EH K AX T S,en
ache,EY Q,en
achebe,AA CH EY B IY,en
achenbach,EH K AX N B AA Q,en
achenbaum,EH K AX N B AW M,en
aches,EY Q S,en
acheson,EH CH AX S AX N,en
achey,EH CH IY,en
achievable,AX CH IY V AX B AX L,en
achieved,AX CH IY V D,en
achievement,AX CH IY V M AX N T,en
achievements,AX CH IY V M AX N T S,en
achiever,AX CH IY V AX R,en
achievers,AX CH IY V AX R Z,en
achieves,AX CH IY V Z,en
achieving,AX CH IY V IY NG,en
achille,AX K IY L IY,en
achilles,AX K IY L IY Z,en
aching,EY K IY NG,en
achmed,AA HH M EH D,en
achoa,AX CH AO W AA,en
achoa's,AX CH AO W AA Z,en
achor,EY K AX R,en
achord,EH K AO R D,en
achorn,EH K AX R N,en
achterberg,EH Q T AX R B AX R G,en
achy,EY K IY,en
aci,AA CH IY,ma
acian,AA CH IY AA N,ma
acid,EH S AX D,en
acidification,AX S IY D AX F AX K EY SH AX N,en
acidified,AX S IY D AX F AY D,en
acidify,AX S IY D AX F AY,en
acidity,AX S IY D AX T IY,en
acidly,EH S AX D L IY,en
acidosis,EH S AX D AO W S AX S,en
acierno,AA S IY R N AO W,en
acik,AA CH IY Q,ma
acker,EH K AX R,en
acker's,EH K AX R Z,en
ackerly,EH K AX R L IY,en
ackermann,EH K AX R M AX N,en
ackerson,EH K AX R S AX N,en
ackhouse,EH K HH AW S,en
ackland,EH K L AX N D,en
ackles,EH K AX L Z,en
ackley,EH K L IY,en
acklin,EH K L IY N,en
acknowledge,EH Q N AA L AX JH,en
acknowledgeable,EH Q N AA L AX JH AX B AX L,en
acknowledgement,EH Q N AA L AX JH M AX N T,en
acknowledges,EH Q N AA L AX JH AX Z,en
acknowledging,EH Q N AA L AX JH IY NG,en
acknowledgment,EH Q N AA L AX JH M AX N T,en
ackroyd,EH K R OY D,en
ackroyd's,EH K R OY D Z,en
acmat,EH Q M EH T,en
acmat's,EH Q M EH T S,en
acme's,EH Q M IY Z,en
acne,EH Q N IY,en
aco,AA CH AO,ma
acoff,EH K AO F,en
acog,AX K AO Q,en
acolyte,EH K AX L AY T,en
acolytes,EH K AX L AY T S,en
acorn,EY K AO R N,en
acorns,EY K AO R N Z,en
acoustic,AX Q UW S T IY Q,en
acoustically,AX Q UW S T AX K L IY,en
acoustics,AX Q UW S T IY Q S,en
acquaint,AX K W EY N T,en
acquaintance,AX K W EY N T AX N S,en
acquaintances,AX K W EY N T AX N S AX Z,en
acquainted,AX K W EY N AX D,en
acquainted,AX K W EY N T AX D,en
acquaviva,AA K W AA V IY V AA,en
acquiesce,EH K W IY EH S,en
acquiesced,EH K W IY EH S T,en
acquiescence,EH K W IY EH S AX N S,en
acquiescing,EH K W IY EH S IY NG,en
acquire,AX K W AY AX R,en
acquired,AX K W AY AX R D,en
acquirer,AX K W AY AX R AX R,en
acquirers,AX K W AY AX R AX R Z,en
acquires,AX K W AY AX R Z,en
acquiring,AX K W AY AX R IY NG,en
acquiring,AX K W AY R IY NG,en
acquisition's,EH K W AX Z IY SH AX N Z,en
acquisitions,EH K W AX Z IY SH AX N Z,en
acquisitive,AX K W IY Z AX T IY V,en
acquit,AX K W IY T,en
acquitaine,EH K W IY T EY N,en
acquits,AX K W IY T S,en
acquittal,AX K W IY T AX L,en
acquittals,AX K W IY T AX L Z,en
acquitted,AX K W IY T AX D,en
acquitting,AX K W IY T IY NG,en
acre,EY K AX R,en
acreage,EY K AX R AX JH,en
acreage,EY K R AX JH,en
acree,AX K R IY,en
acrey,EH K R IY,en
acri,AA K R IY,en
acrid,EH K R IY D,en
acrimonious,EH K R AX M AO W N IY AX S,en
acrimony,EH K R IY M AO W N IY,en
acrobat,EH K R AX B EH T,en
acrobatic,EH K R AX B EH T IY Q,en
acrobatics,EH K R AX B EH T IY Q S,en
acrobats,EH K R AX B EH T S,en
acronym,EH K R AX N IY M,en
acropolis,AX K R AA P AX L AX S,en
across,AX K R AO S,en
acrylics,AX K R IY L IY Q S,en
act,EH Q T,en
act's,EH Q T S,en
acted,EH Q T AX D,en
actigall,EH Q T IY G AO L,en
actin,EH Q T AX N,en
acting,EH Q T IY NG,en
actinide,EH Q T IY N AY D,en
actionable,EH Q SH AX N AX B AX L,en
actions,EH Q SH AX N Z,en
activate,EH Q T AX V EY T,en
activating,EH Q T AX V EY T IY NG,en
activator,EH Q T AX V EY T AX R,en
active,EH Q T IY V,en
actively,EH Q T IY V L IY,en
actives,EH Q T IY V Z,en
activision,EH Q T IY V IY Z AX N,en
activism,EH Q T IY V IY Z AX M,en
activists,EH Q T IY V IY S T S,en
activists',EH Q T IY V IY S T S,en
activities,EH Q T IY V IY T IY Z,en
activity,EH Q T IY V IY T IY,en
actodine,EH Q T AO W D AY N,en
actor's,EH Q T AX R Z,en
actors',EH Q T AX R Z,en
actress,EH Q T R AX S,en
actresses,EH Q T R AX S AX Z,en
acts,EH Q S,en
acts,EH Q T S,en
actual,EH Q SH AX L,en
actual,EH Q CH AX W AX L,en
actuality,EH Q CH UW EH L AX T IY,en
actualize,EH Q CH UW AX L AY Z,en
actuaries,EH Q CH UW EH R IY Z,en
actuary,EH Q CH UW EH R IY,en
actuate,EH Q CH UW EY T,en
actuator,EH Q CH UW EY T AX R,en
actuator,EH Q T Y UW EY T AX R,en
actuators,EH Q T Y UW EY T AX R Z,en
actuators,EH Q CH UW EY T AX R Z,en
acuan,AA CH UW AA N,ma
acuff,AX K AA F,en
acuh,AA CH UW HH,ma
acuhan,AA CH UW HH AA N,ma
acuity,AX K Y UW AX T IY,en
acum,AA CH UW M,ma
acuman,AA CH UW M AA N,ma
acumen,AX K Y UW M AX N,en
acuna,AA K UW N AA,en
acung,AA CH UW NG,ma
acungkan,AA CH UW NG K AA N,ma
acupuncture,EH K Y UW P AA NG K CH AX R,en
acura,EH K Y AX R AA,en
acuras,EH K Y AX R AX Z,en
acuson,EH K Y UW S AX N,en
acustar,EH K Y UW S T AA R,en
acusyst,EH K Y UW S IY S T,en
acutely,AX K Y UW T L IY,en
acuteness,AX K Y UW T N AX S,en
acyclovir,AX S IY K L AO W V IY R,en
ad's,EH D Z,en
ada,EY D AA,en
ada,AA D AA,ma
adaan,AA D AA Q AA N,ma
adabel,EH D AX B EH L,en
adabelle,EH D AX B AX L,en
adad,AA D AA D,ma
adage,EH D AX JH,en
adagio,AX D AA Z IY AO W,en
adagio,AA D AA G IY AO,ma
adagium,AA D AA G IY UW M,ma
adair,AX D EH R,en
adaire,AA D EH R,en
adak,AX D EH Q,en
adakah,AA D AA K AA HH,ma
adakala,AA D AA K AA L AA,ma
adalah,AA D AA L AX,en
adalah,AA D AA L AA HH,ma
adalat,AA D AA L AA T,ma
adam,AA D AA M,ma
adam's,EH D AX M Z,en
adamant,EH D AX M AX N T,en
adamantly,EH D AX M AX N T L IY,en
